,Team,GamesPlayed,Points,GoalsFor,GoalsAgainst,GoalDifference,Shots,ShotsPerGame
0,Man United,38,89,86,43,43,512,13.473684210526315
1,Man City,38,78,66,34,32,601,15.81578947368421
2,Chelsea,38,75,75,39,36,569,14.973684210526315
3,Arsenal,38,73,72,37,35,546,14.368421052631579
4,Tottenham,38,72,66,46,20,617,16.236842105263158
5,Everton,38,63,55,40,15,561,14.763157894736842
6,Liverpool,38,61,71,43,28,669,17.605263157894736
7,West Brom,38,49,53,57,-4,460,12.105263157894736
8,Swansea,38,46,47,51,-4,460,12.105263157894736
9,West Ham,38,46,45,53,-8,439,11.552631578947368
10,Norwich,38,44,41,58,-17,372,9.789473684210526
11,Fulham,38,43,50,60,-10,425,11.18421052631579
12,Stoke,38,42,34,45,-11,338,8.894736842105264
13,Newcastle,38,41,45,68,-23,471,12.394736842105264
14,Aston Villa,38,41,47,69,-22,393,10.342105263157896
15,Southampton,38,41,49,60,-11,473,12.447368421052632
16,Sunderland,38,39,41,54,-13,378,9.947368421052632
17,Wigan,38,36,47,73,-26,452,11.894736842105264
18,Reading,38,28,43,73,-30,351,9.236842105263158
19,QPR,38,25,30,60,-30,465,12.236842105263158
