,Team,GamesPlayed,Points,GoalsFor,GoalsAgainst,GoalDifference,Shots,ShotsPerGame
0,Man City,38,86,102,37,65,673,17.710526315789473
1,Liverpool,38,84,101,50,51,650,17.105263157894736
2,Chelsea,38,82,71,27,44,693,18.236842105263158
3,Arsenal,38,79,68,41,27,524,13.789473684210526
4,Everton,38,72,61,39,22,560,14.736842105263158
5,Tottenham,38,69,55,51,4,584,15.368421052631579
6,Man United,38,64,64,43,21,525,13.81578947368421
7,Southampton,38,56,54,46,8,531,13.973684210526315
8,Stoke,38,50,45,52,-7,425,11.18421052631579
9,Newcastle,38,49,43,59,-16,579,15.236842105263158
10,Crystal Palace,38,45,33,48,-15,414,10.894736842105264
11,Swansea,38,42,54,54,0,494,13.0
12,West Ham,38,40,40,51,-11,418,11.0
13,Aston Villa,38,38,39,61,-22,430,11.31578947368421
14,Sunderland,38,38,41,60,-19,490,12.894736842105264
15,Hull,38,37,38,53,-15,425,11.18421052631579
16,West Brom,38,36,43,59,-16,485,12.763157894736842
17,Norwich,38,33,28,62,-34,464,12.210526315789474
18,Fulham,38,32,40,85,-45,431,11.342105263157896
19,Cardiff,38,30,32,74,-42,419,11.026315789473685
