,Team,GamesPlayed,Points,GoalsFor,GoalsAgainst,GoalDifference,Shots,ShotsPerGame
0,Man City,38,100,106,27,79,664,17.473684210526315
1,Man United,38,81,68,28,40,513,13.5
2,Tottenham,38,77,74,36,38,622,16.36842105263158
3,Liverpool,38,75,84,38,46,640,16.842105263157894
4,Chelsea,38,70,62,38,24,606,15.947368421052632
5,Arsenal,38,63,74,51,23,593,15.605263157894736
6,Burnley,38,54,36,39,-3,379,9.973684210526315
7,Everton,38,49,44,58,-14,360,9.473684210526315
8,Leicester,38,47,56,60,-4,422,11.105263157894736
9,Crystal Palace,38,44,45,55,-10,475,12.5
10,Bournemouth,38,44,45,61,-16,467,12.289473684210526
11,Newcastle,38,44,39,47,-8,449,11.81578947368421
12,West Ham,38,42,48,68,-20,373,9.81578947368421
13,Watford,38,41,44,64,-20,440,11.578947368421053
14,Brighton,38,40,34,54,-20,383,10.078947368421053
15,Huddersfield,38,37,28,58,-30,360,9.473684210526315
16,Southampton,38,36,37,56,-19,451,11.868421052631579
17,Stoke,38,33,35,68,-33,382,10.052631578947368
18,Swansea,38,33,28,56,-28,336,8.842105263157896
19,West Brom,38,31,31,56,-25,375,9.868421052631579
