,Team,GamesPlayed,Points,GoalsFor,GoalsAgainst,GoalDifference,Shots,ShotsPerGame
0,Leicester,38,81,68,36,32,523,13.763157894736842
1,Arsenal,38,71,65,36,29,572,15.052631578947368
2,Tottenham,38,70,69,35,34,661,17.394736842105264
3,Man City,38,66,71,41,30,612,16.105263157894736
4,Man United,38,66,49,35,14,430,11.31578947368421
5,Southampton,38,63,59,41,18,519,13.657894736842104
6,West Ham,38,62,65,51,14,556,14.631578947368421
7,Liverpool,38,60,63,50,13,629,16.55263157894737
8,Stoke,38,51,41,55,-14,418,11.0
9,Chelsea,38,50,59,53,6,526,13.842105263157896
10,Swansea,38,47,42,52,-10,442,11.631578947368421
11,Everton,38,47,59,55,4,492,12.947368421052632
12,Watford,38,45,40,50,-10,445,11.710526315789474
13,West Brom,38,43,34,48,-14,384,10.105263157894736
14,Bournemouth,38,42,45,67,-22,463,12.18421052631579
15,Crystal Palace,38,42,39,51,-12,466,12.263157894736842
16,Sunderland,38,39,48,62,-14,439,11.552631578947368
17,Newcastle,38,37,44,65,-21,398,10.473684210526315
18,Norwich,38,34,39,67,-28,416,10.947368421052632
19,Aston Villa,38,17,27,76,-49,368,9.68421052631579
